gene,dNdS,Interacting?,Pval
ACO1,0.1311,Non-interacting,0.1454285
ACOD1,0.3235231,Non-interacting,0.1988517
ACOT1,0.3130833,Non-interacting,0.01655549
ACOT11,0.1106239,Non-interacting,0.00996063
ACOT12,0.2205478,Non-interacting,0.2115177
ACOT13,0.3037759,Interacting,0.1424073
ACOT2,0.4062252,Non-interacting,0.01451856
ACOT4,0.3657457,Non-interacting,0.1908207
ACOT6,0.4481718,Non-interacting,0.2434838
ACOT7,0.05779624,Non-interacting,1
ACOT8,0.1992571,Non-interacting,0.1800863
ACOT9,0.2288929,Non-interacting,0.3064394
ACOX1,0.2327756,Non-interacting,9.57E-08
ACOX2,0.3649161,Non-interacting,0.03777191
ACOX3,0.2550417,Non-interacting,1
ACOXL,0.3587926,Non-interacting,0.04763746
ACP2,0.2054776,Non-interacting,1
ACP5,0.1119153,Non-interacting,0.01324016
ACP6,0.3965433,Non-interacting,0.000763524
ACP7,0.1726499,Non-interacting,0.001102235
ACPP,0.4027399,Non-interacting,0.004405462
ACR,0.387995,Non-interacting,0.4216837
ACRBP,0.3205231,Non-interacting,1
ACRV1,0.4659846,Non-interacting,0.007360337
ACSBG1,0.1347955,Non-interacting,1
ACSBG2,0.3914326,Non-interacting,5.62E-05
ACSF2,0.2584053,Non-interacting,0.006882563
ACSF3,0.1935217,Non-interacting,0.9880056
ACSL1,0.1511671,Non-interacting,0.2517746
ACSL3,0.08600416,Non-interacting,1
ACSL4,0.06774218,Non-interacting,0.9628112
ACSL5,0.3764407,Non-interacting,0.006374142
ACSL6,0.1247801,Non-interacting,0.7617076
ACSM1,0.5197011,Non-interacting,0.000147958
ACSM3,0.2558759,Non-interacting,0.1118185
ACSM4,0.2802608,Non-interacting,0.0449247
ACSM5,0.2483301,Non-interacting,0.7739616
ACSM6,0.6776241,Non-interacting,0.000231715
ACSS1,0.1803021,Non-interacting,0.25188
ACSS3,0.1618515,Non-interacting,1
ACTA1,0.001015873,Interacting,0.2261752
ACTBL2,0.06439096,Interacting,0.04624027
ACTC1,0.00202027,Interacting,1
ACTL10,0.1588286,Interacting,0.09501075
ACTL6B,0.009665072,Non-interacting,1
ACTL8,0.1790219,Non-interacting,0.4753424
ACTL9,0.1468048,Non-interacting,0.2238312
ACTR10,0.1715468,Non-interacting,0.9062761
ACTR1A,0.03545266,Interacting,1
ACTR1B,0.02027624,Interacting,1
ACTR3,0.02427737,Non-interacting,0.179315
ACTR3B,0.003024735,Non-interacting,1
ACTR5,0.1106189,Non-interacting,0.002961768
ACTR6,0.01112121,Non-interacting,1
ACTR8,0.04861592,Non-interacting,0.5098378
ACTRT2,0.114878,Non-interacting,0.01843176
ACTRT3,0.3059738,Non-interacting,0.001603084
ACVR1,0.02075306,Interacting,0.160723
ACVR1B,0.01606517,Interacting,0.03080437
ACVR1C,0.06669936,Interacting,0.3776371
ACVR2A,0.01308065,Interacting,1
ACVR2B,0.02435845,Interacting,1
ACVRL1,0.1377549,Interacting,0.3836084
ACY1,0.6521618,Non-interacting,1.03E-41
ACY3,0.2402035,Non-interacting,1
ACYP1,0.3947,Interacting,0.4528904
ADA,0.1998102,Non-interacting,0.002153314
ADA2,0.08707816,Non-interacting,0.05820112
ADAD1,0.2298574,Non-interacting,0.3908828
ADAD2,0.2600123,Non-interacting,0.01353007
ADAL,0.316862,Non-interacting,0.8110229
ADAM10,0.09188503,Non-interacting,0.654403
ADAM11,0.1010013,Non-interacting,0.1567257
ADAM12,0.2620611,Non-interacting,0.3589373
ADAM15,0.3371008,Non-interacting,0.302301
ADAM17,0.1252877,Non-interacting,1
ADAM18,0.400383,Non-interacting,0.01054147
ADAM19,0.127473,Non-interacting,1
ADAM2,0.5975689,Non-interacting,1.32E-08
ADAM20,0.7685408,Non-interacting,2.38E-11
ADAM21,0.5198442,Non-interacting,0.3239993
ADAM22,0.1673065,Non-interacting,1
ADAM23,0.1212651,Non-interacting,1
ADAM28,0.4735882,Interacting,0.001505732
ADAM29,0.5252393,Non-interacting,1.83E-06
ADAM30,0.5366987,Non-interacting,0.8473145
ADAM32,0.807458,Non-interacting,3.83E-15
ADAM33,0.3777125,Non-interacting,0.01426929
ADAM7,0.4845716,Non-interacting,0.000369511
ADAM8,0.3566359,Non-interacting,4.07E-05
ADAM9,0.2344761,Non-interacting,0.05613537
ADAMDEC1,0.3996026,Non-interacting,0.2813764
ADAMTS1,0.1291138,Non-interacting,0.05631114
ADAMTS10,0.09797366,Non-interacting,9.00E-06
ADAMTS12,0.2421325,Non-interacting,0.008756758
ADAMTS13,0.3287495,Non-interacting,0.002043182
ADAMTS14,0.1774211,Non-interacting,0.01027024
ADAMTS15,0.05182458,Non-interacting,0.6432429
ADAMTS16,0.1976414,Non-interacting,0.05910999
ADAMTS17,0.08965936,Non-interacting,0.2741961
ADAMTS18,0.1414408,Non-interacting,5.35E-05
ADAMTS19,0.2206561,Non-interacting,0.3824637
ADAMTS20,0.438462,Non-interacting,0.002547629
ADAMTS3,0.1642735,Non-interacting,0.002019054
ADAMTS4,0.121211,Non-interacting,0.1431773
ADAMTS5,0.09873851,Non-interacting,0.1969288
ADAMTS6,0.1044968,Non-interacting,0.0384028
ADAMTS7,0.2150018,Non-interacting,0.2275341
ADAMTS8,0.1305993,Non-interacting,4.00E-07
ADAMTS9,0.1296024,Non-interacting,0.1183962
ADAMTSL2,0.06225316,Non-interacting,0.6034364
ADAMTSL3,0.2180343,Interacting,1
ADAMTSL5,0.1821922,Non-interacting,0.002104747
ADAP1,0.03681609,Interacting,0.8769409
ADAP2,0.2524839,Non-interacting,0.4209305
ADAR,0.3187797,Interacting,0.002319522
ADARB1,0.05962625,Non-interacting,0.2075426
ADARB2,0.06586033,Interacting,0.09540551
ADAT1,0.3808367,Non-interacting,0.6687243
ADAT2,0.2911158,Non-interacting,0.03913089
ADAT3,0.08815408,Non-interacting,0.4920905
ADCK2,0.2612939,Interacting,0.1111341
ADCY1,0.06887627,Non-interacting,0.530756
ADCY10,0.6393536,Non-interacting,1.57E-11
ADCY2,0.04759549,Non-interacting,1
ADCY3,0.0765152,Non-interacting,0.9462559
ADCY4,0.1117639,Non-interacting,1
ADCY5,0.05911138,Non-interacting,0.2265505
ADCY6,0.09001487,Non-interacting,0.2518797
ADCY7,0.1344588,Non-interacting,0.1146163
ADCY8,0.076578,Non-interacting,0.9471011
ADCY9,0.07757249,Non-interacting,0.07578101
ADCYAP1,0.3716911,Non-interacting,0.03709018
ADCYAP1R1,0.1117961,Non-interacting,0.1690842
ADD1,0.1384658,Non-interacting,0.01945765
ADD2,0.04775758,Non-interacting,1
ADGB,0.3612893,Non-interacting,4.66E-05
ADGRA1,0.1276679,Non-interacting,0.000628367
ADGRA3,0.07701365,Interacting,1
ADGRB2,0.05079517,Non-interacting,0.7977669
ADGRB3,0.04013918,Non-interacting,1
ADGRD1,0.1885556,Non-interacting,1
ADGRD2,0.378971,Non-interacting,0.000268379
ADGRE1,0.5741844,Non-interacting,6.23E-10
ADGRE2,0.4791285,Non-interacting,0.001037039
ADGRE3,0.6347202,Non-interacting,4.06E-05
ADGRF1,0.4534484,Non-interacting,0.1800635
ADGRF2,0.5705192,Non-interacting,5.77E-17
ADGRF3,0.4886447,Non-interacting,0.004831996
ADGRF4,0.3432622,Non-interacting,0.01384783
ADGRF5,0.3642964,Non-interacting,0.0178049
ADGRG1,0.2208853,Non-interacting,2.06E-05
ADGRG3,0.3505182,Non-interacting,0.004444263
ADGRG4,0.7989695,Non-interacting,0.001167718
ADGRG5,0.3511265,Non-interacting,0.000120418
ADGRG6,0.31929,Non-interacting,7.54E-11
ADGRG7,0.8194962,Non-interacting,9.72E-11
ADGRL2,0.06162509,Non-interacting,1
ADGRL3,0.08293606,Non-interacting,7.64E-13
ADGRL4,0.2295081,Non-interacting,1
ADH4,0.3927011,Non-interacting,0.2033064
ADH6,0.6545882,Non-interacting,0.04663375
ADH7,0.1701501,Non-interacting,0.0223774
ADHFE1,0.1785313,Non-interacting,0.376202
ADI1,0.06826429,Non-interacting,0.3756376
ADIG,0.9643125,Non-interacting,0.000113546
ADIPOQ,0.2172336,Non-interacting,0.1632236
ADIPOR1,0.1952157,Non-interacting,1
ADIPOR2,0.09754805,Non-interacting,1
ADIRF,0.4179273,Non-interacting,1
ADK,0.1586452,Non-interacting,1
ADM,0.2377838,Non-interacting,0.03698579
ADM2,0.4494865,Non-interacting,0.0603227
ADM5,0.5010268,Non-interacting,0.4022714
ADNP,0.05973593,Interacting,0.9717063
ADO,0.05127407,Non-interacting,1
ADORA1,0.0285,Non-interacting,0.2897415
ADORA2A,0.07873415,Interacting,0.3769956
ADORA2B,0.2236119,Non-interacting,0.07614852
ADPGK,0.1785654,Non-interacting,1
ADPRH,0.2893743,Non-interacting,0.007458087
ADPRHL1,0.08437026,Non-interacting,1
ADPRHL2,0.07880663,Non-interacting,1
ADPRM,0.2591287,Non-interacting,1
ADRA1A,0.06146316,Non-interacting,0.4089319
ADRA1B,0.06298416,Non-interacting,0.8437779
ADRA1D,0.06146316,Non-interacting,0.4089319
ADRA2A,0.04734152,Interacting,0.4373149
ADRA2B,0.1268161,Non-interacting,0.05765723
ADRA2C,0.06821053,Non-interacting,0.07923227
ADRB1,0.04446868,Interacting,1
ADRB2,0.1310797,Interacting,0.5065583
ADRB3,0.1947457,Interacting,1
ADRM1,0.02760106,Non-interacting,1
ADSL,0.1372092,Non-interacting,0.07028465
ADSS,0.1477884,Non-interacting,0.006992891
ADSSL1,0.1561545,Non-interacting,7.12E-06
ADTRP,0.7594649,Non-interacting,0.0239823
AEBP1,0.1203086,Interacting,0.08252219
AEBP2,0.04116174,Non-interacting,0.2282586
AEN,0.6379561,Non-interacting,6.21E-20
AES,0.3339023,Non-interacting,0.00114189
AFAP1,0.09512192,Non-interacting,1
AFAP1L1,0.126164,Non-interacting,1
AFAP1L2,0.1609237,Non-interacting,0.002509355
AFF1,0.5127339,Non-interacting,1.99E-20
AFF3,0.1739019,Non-interacting,0.03936843
AFF4,0.107098,Non-interacting,0.1885737
AFG1L,0.2600911,Non-interacting,0.8118355
AFG3L2,0.09530692,Non-interacting,0.6899311
AFM,0.5104726,Non-interacting,0.2321464
AFMID,0.3496892,Interacting,0.201994
AFP,0.2849136,Non-interacting,0.004681239
AGAP2,0.1153549,Interacting,0.0224423
AGAP3,0.04139356,Interacting,1
AGBL1,0.3816097,Non-interacting,1.68E-05
AGBL2,0.5221969,Non-interacting,1.05E-05
AGBL3,0.3968183,Non-interacting,0.4231248
AGBL4,0.1324787,Non-interacting,1
AGBL5,0.2779101,Non-interacting,0.001669836
AGER,0.4319007,Interacting,0.1619701
AGFG1,0.1025197,Non-interacting,1
AGFG2,0.2842443,Non-interacting,0.5355404
AGGF1,0.2519958,Non-interacting,1
AGMAT,0.1948023,Non-interacting,1
AGMO,0.2281627,Non-interacting,0.01596846
AGO1,0.02196108,Non-interacting,0.2188674
AGO2,0.003176263,Non-interacting,0.4207226
AGO3,0.003018568,Non-interacting,1
AGO4,0.009065574,Non-interacting,1
AGPAT1,0.2104982,Non-interacting,0.005523557
AGPAT2,0.1282772,Non-interacting,1
AGPAT3,0.06626316,Non-interacting,1
AGPAT4,0.1119149,Non-interacting,1
AGPS,0.1613405,Non-interacting,0.6174866
AGR2,0.393767,Non-interacting,1.90E-09
AGR3,0.2265212,Non-interacting,1
AGRN,0.1655024,Non-interacting,0.000145004
AGRP,0.2703359,Non-interacting,0.03628522
AGT,0.3090268,Non-interacting,0.0816332
AGTPBP1,0.1492321,Non-interacting,0.04043595
AGTR1,0.09520334,Non-interacting,0.2128484
AGTR2,0.1559778,Non-interacting,1
AGTRAP,0.2883671,Non-interacting,0.05481377
AGXT,0.1232061,Non-interacting,0.3067239
AGXT2,0.2351582,Non-interacting,0.05052343
AHCTF1,0.4244237,Non-interacting,5.87E-05
AHCYL1,0.03473346,Non-interacting,0.2408657
AHCYL2,0.0875082,Non-interacting,0.1405777
AHDC1,0.05468227,Non-interacting,1
AHI1,0.4212742,Interacting,1.65E-05
AHNAK2,0.399677,Non-interacting,7.39E-06
AHR,0.296947,Non-interacting,1
AHRR,0.3880316,Non-interacting,0.000710376
AHSA1,0.1489172,Non-interacting,0.7290475
AHSA2,0.5164264,Non-interacting,0.01423772
AHSG,0.7802727,Non-interacting,2.68E-07
AICDA,0.06857653,Non-interacting,0.412173
AIDA,0.2170067,Non-interacting,0.8161501
AIF1,0.1267311,Non-interacting,1
AIF1L,0.08665217,Non-interacting,0.02171474
AIFM1,0.2541304,Non-interacting,0.3256763
AIFM2,0.1634286,Non-interacting,1
AIFM3,0.0514398,Non-interacting,0.05011222
AIM2,0.7554839,Non-interacting,6.17E-05
AIMP1,0.2637477,Non-interacting,0.8654086
AIMP2,0.2042381,Non-interacting,0.05370767
AIP,0.305515,Interacting,0.3214795
AIPL1,0.2323271,Interacting,1.70E-06
AIRE,0.2509418,Non-interacting,0.3381717
AJAP1,0.1992015,Non-interacting,1
AK1,0.09903684,Non-interacting,0.6305911
AK2,0.2009784,Non-interacting,0.08487924
AK4,0.1133636,Non-interacting,1
AK5,0.1585443,Non-interacting,0.02681673
AK7,0.2643115,Interacting,0.004217155
AK8,0.2689011,Non-interacting,0.2543203
AK9,0.4293462,Interacting,0.07544738
AKAIN1,0.4102273,Non-interacting,0.3646042
AKAP1,0.3694124,Non-interacting,0.001847854
AKAP10,0.1906212,Non-interacting,0.1492783
AKAP11,0.3934818,Non-interacting,0.002937619
AKAP13,0.4596668,Interacting,2.99E-10
AKAP14,1.343974,Non-interacting,0.000170478
AKAP17A,0.06664017,Non-interacting,0.2913302
AKAP2,0.2654582,Non-interacting,0.006426766
AKAP3,0.5316049,Non-interacting,0.003548039
AKAP4,0.5333075,Non-interacting,0.000103413
AKAP5,0.5125818,Non-interacting,0.008446337
AKAP8,0.1921513,Non-interacting,0.2537735
AKAP8L,0.07409165,Non-interacting,0.1713016
AKAP9,0.3916234,Non-interacting,6.04E-11
AKIP1,0.6211284,Non-interacting,0.508288
AKIRIN1,0.1313938,Non-interacting,0.1321866
AKIRIN2,0.1936995,Non-interacting,0.4471382
AKNA,0.5523855,Non-interacting,0.003286409
AKNAD1,0.7371162,Non-interacting,0.03533341
AKR1A1,0.1226451,Non-interacting,1
AKR1E2,0.4397107,Non-interacting,0.01792975
AKR7A3,0.1598252,Non-interacting,0.3822741
AKR7L,0.1682301,Non-interacting,0.1185949
AKT1,0.01148421,Interacting,1
AKT1S1,0.1146459,Non-interacting,1
AKT2,0.02161954,Interacting,0.2420832
AKT3,0.003012931,Interacting,1
ALAD,0.1791722,Non-interacting,0.451278
ALAS1,0.1198936,Non-interacting,0.5329372
ALAS2,0.1812539,Interacting,1
ALB,0.3177504,Interacting,0.02611256
ALCAM,0.1716955,Interacting,0.3120654
ALDH16A1,0.257225,Non-interacting,0.0853014
ALDH18A1,0.07627945,Non-interacting,0.9457154
ALDH1A2,0.03672345,Non-interacting,1
ALDH1A3,0.07464192,Non-interacting,1
ALDH1B1,0.06567248,Non-interacting,0.239857
ALDH1L1,0.1496033,Non-interacting,0.04341061
ALDH1L2,0.09888203,Non-interacting,0.401378
ALDH2,0.04892693,Non-interacting,0.1556499
ALDH3A1,0.2404916,Non-interacting,9.23E-09
ALDH3A2,0.2322283,Non-interacting,7.53E-05
ALDH3B1,0.1049808,Non-interacting,0.9675007
ALDH3B2,0.106574,Non-interacting,0.001452336
ALDH4A1,0.07219929,Non-interacting,0.6732223
ALDH5A1,0.1903069,Non-interacting,0.0733769
ALDH6A1,0.180122,Non-interacting,0.04276681
ALDH7A1,0.1112486,Non-interacting,0.3659567
ALDH8A1,0.1262213,Non-interacting,1
ALDH9A1,0.1814442,Non-interacting,1
ALDOB,0.1120487,Non-interacting,0.9233718
ALDOC,0.1601178,Non-interacting,1
ALG1,0.2793094,Non-interacting,0.3384378
ALG10,0.1839915,Non-interacting,0.04114896
ALG10B,0.2037516,Non-interacting,1
ALG11,0.2537923,Non-interacting,1
ALG12,0.1594262,Non-interacting,1
ALG13,0.4151516,Non-interacting,0.4389086
ALG14,0.3697083,Non-interacting,0.5726287
ALG1L,0.3007761,Non-interacting,0.2504058
ALG1L2,0.3261895,Non-interacting,0.7421982
ALG2,0.18394,Non-interacting,0.118573
ALG3,0.1824732,Non-interacting,0.00094711
ALG5,0.2391832,Non-interacting,0.004663008
ALG6,0.2329152,Non-interacting,0.1748984
ALG8,0.2195592,Non-interacting,0.8404789
ALG9,0.2296401,Non-interacting,0.03585188
ALK,0.1158181,Interacting,0.06048477
ALKAL1,0.4267857,Non-interacting,0.05510308
ALKAL2,0.3341589,Non-interacting,0.1281166
ALKBH1,0.326876,Non-interacting,0.2091824
ALKBH2,0.2098621,Non-interacting,0.07448754
ALKBH3,0.205117,Non-interacting,0.9200274
ALKBH4,0.08684437,Non-interacting,0.1305541
ALKBH5,0.02329319,Non-interacting,1
ALKBH6,0.1796717,Non-interacting,1
ALKBH7,0.1456275,Non-interacting,0.04633175
ALLC,0.2626463,Non-interacting,0.1893626
ALMS1,0.7718764,Non-interacting,3.12E-13
ALOX12,0.2551207,Non-interacting,0.3907477
ALOX12B,0.09144634,Non-interacting,0.3878633
ALOX15B,0.1915195,Non-interacting,0.1032931
ALOX5,0.06691589,Non-interacting,1
ALOX5AP,0.0656358,Interacting,1
ALOXE3,0.208026,Non-interacting,2.68E-05
ALPI,0.1722911,Non-interacting,0.1283931
ALPK1,0.3924163,Non-interacting,1
ALPK2,0.6900254,Interacting,2.21E-08
ALPL,0.0884894,Non-interacting,0.03846918
ALS2,0.1162154,Non-interacting,0.02190172
ALS2CL,0.1632471,Non-interacting,0.02330895
ALS2CR12,0.9247905,Non-interacting,6.45E-05
ALX1,0.1823304,Non-interacting,0.9116128
ALX3,0.1757018,Non-interacting,1
ALYREF,0.173761,Interacting,0.4908283
AMACR,0.5067559,Non-interacting,1.72E-06
AMBN,0.4549041,Non-interacting,0.03620451
AMBP,0.2678601,Interacting,0.05593519
AMBRA1,0.0939194,Non-interacting,1
AMD1,0.186318,Non-interacting,0.3624148
AMDHD1,0.1552348,Non-interacting,0.08007277
AMDHD2,0.1161078,Non-interacting,0.2838055
AMELX,0.8292696,Non-interacting,0.003205637
AMELY,0.9351561,Non-interacting,0.004703195
AMER1,0.4671304,Non-interacting,8.59E-05
AMER2,0.1981776,Non-interacting,1
AMER3,0.3289308,Non-interacting,0.00500045
AMFR,0.1164292,Interacting,0.5093443
AMH,0.2231127,Non-interacting,0.3574694
AMHR2,0.3525612,Interacting,0.755116
AMIGO1,0.1436633,Non-interacting,0.5311882
AMIGO2,0.1165797,Non-interacting,0.9207343
AMIGO3,0.1901633,Interacting,0.1529476
AMMECR1,0.04509639,Non-interacting,1
AMMECR1L,0.1515338,Non-interacting,0.03047928
AMN,0.1268275,Non-interacting,8.17E-05
AMN1,0.2405163,Non-interacting,0.7707795
AMOT,0.145949,Non-interacting,0.04830991
AMOTL1,0.09995421,Non-interacting,0.833456
AMOTL2,0.1439679,Non-interacting,0.1186542
AMPD1,0.178379,Non-interacting,0.1226605
AMPD2,0.05564318,Non-interacting,0.7220615
AMPD3,0.08706088,Non-interacting,0.6917197
AMT,0.2646328,Non-interacting,1
AMTN,0.5678469,Non-interacting,0.4771195
AMZ1,0.1479299,Non-interacting,1
ANAPC1,0.1133318,Non-interacting,1
ANAPC10,0,Non-interacting,1
ANAPC11,0.6691044,Non-interacting,0.007888853
ANAPC13,0.03536585,Non-interacting,0.1607226
ANAPC16,0.03286111,Non-interacting,0.1152433
ANAPC2,0.03870437,Interacting,0.1393122
ANAPC4,0.0876392,Non-interacting,1
ANAPC5,0.08650068,Non-interacting,1
ANAPC7,0.2782248,Non-interacting,0.1464767
ANG,1.414589,Non-interacting,1.44E-05
ANGEL1,0.2264738,Non-interacting,0.3568586
ANGEL2,0.1593829,Non-interacting,1
ANGPTL5,0.2995565,Non-interacting,1
ANGPTL8,0.4579637,Non-interacting,0.2146875
ANK1,0.1015571,Interacting,1
ANK2,0.2260277,Interacting,0.003810549
ANK3,0.1070194,Interacting,0.4890808
ANKDD1A,0.396262,Interacting,0.001785893
ANKDD1B,2.646376,Interacting,0.001574321
ANKEF1,0.2668053,Interacting,0.06350611
ANKFN1,0.132979,Interacting,1
ANKFY1,0.06723952,Interacting,1
ANKH,0.02710722,Non-interacting,1
ANKHD1,0.130334,Interacting,1
ANKIB1,0.08674564,Interacting,0.9627258
ANKK1,0.3847974,Interacting,0.000215437
ANKLE1,0.5579318,Interacting,9.65E-08
ANKMY1,0.2821199,Interacting,0.03071138
ANKMY2,0.1687583,Interacting,0.7247552
ANKRA2,0.03719169,Interacting,1
ANKRD1,0.1494088,Interacting,0.1419286
ANKRD10,0.3222314,Interacting,0.04028526
ANKRD11,0.149699,Interacting,0.001374477
ANKRD12,0.1796837,Interacting,0.07365556
ANKRD13A,0.1299966,Interacting,1
ANKRD13B,0.03504124,Interacting,1
ANKRD13C,0.09538346,Interacting,0.4496547
ANKRD13D,0.09648393,Non-interacting,1
ANKRD16,0.2691897,Interacting,0.102039
ANKRD17,0.05447872,Interacting,0.6437261
ANKRD2,0.1365222,Interacting,1
ANKRD22,0.2117443,Interacting,1
ANKRD23,0.2948395,Interacting,1
ANKRD24,0.2698928,Interacting,0.002301834
ANKRD26,0.4913079,Interacting,0.002924313
ANKRD27,0.1705466,Interacting,1
ANKRD29,0.1211689,Interacting,0.03853622
ANKRD30B,1.466838,Interacting,2.24E-25
ANKRD31,0.7406355,Interacting,0.000291579
ANKRD33,0.3446214,Interacting,0.6612192
ANKRD34A,0.05335845,Interacting,1
ANKRD34B,0.2581518,Interacting,0.5610242
ANKRD34C,0.1746854,Interacting,1
ANKRD35,0.339005,Interacting,0.005402432
ANKRD37,0.3551139,Interacting,0.574673
ANKRD39,0.1617436,Interacting,1
