gene,Pval corrected,Int?
CACNA1C,4.02E-25,Non-interacting
SLC26A3,4.02E-25,Interacting
BCCIP,6.45E-25,Interacting
SGIP1,1.81E-24,Non-interacting
GNAL,2.92E-24,Interacting
LIN9,2.97E-24,Non-interacting
PLA2G4E,2.97E-24,Non-interacting
SCARB1,4.42E-24,Non-interacting
LYSMD4,8.10E-24,Non-interacting
FCER1G,9.24E-24,Non-interacting
PLPPR2,9.44E-24,Non-interacting
RIIAD1,1.62E-23,Non-interacting
SP100,1.62E-23,Non-interacting
MSLNL,3.95E-23,Non-interacting
TF,4.68E-23,Non-interacting
ANKRD30B,4.72E-23,Interacting
P4HA3,1.36E-22,Non-interacting
EBF1,9.52E-22,Non-interacting
TRIM77,1.08E-21,Interacting
PARP9,1.32E-21,Non-interacting
PCNT,2.60E-21,Non-interacting
OR10J3,2.70E-21,Non-interacting
FAM207A,3.95E-21,Non-interacting
SUMF2,5.63E-21,Non-interacting
SCN11A,4.83E-20,Non-interacting
RSPH9,5.31E-20,Non-interacting
CACNA1I,5.33E-20,Non-interacting
C1orf61,5.59E-20,Non-interacting
DMBT1,8.18E-20,Interacting
EFCAB5,8.77E-20,Non-interacting
SLC9C2,1.16E-19,Non-interacting
SPAG11A,1.94E-19,Non-interacting
MEF2A,2.13E-19,Interacting
PHKB,2.93E-19,Non-interacting
FNBP1,3.84E-19,Interacting
UPK3B,4.90E-19,Non-interacting
BCL11A,5.31E-19,Interacting
UBTF,6.31E-19,Interacting
C19orf25,6.47E-19,Non-interacting
MROH9,9.44E-19,Non-interacting
SLCO6A1,1.13E-18,Non-interacting
SPAG11B,1.70E-18,Non-interacting
PDE4DIP,2.43E-18,Non-interacting
CXCR1,2.56E-18,Non-interacting
AFF1,2.98E-18,Non-interacting
CFH,3.08E-18,Interacting
SNW1,3.60E-18,Non-interacting
IFI27,3.66E-18,Non-interacting
MUC6,3.89E-18,Non-interacting
FGF14,5.25E-18,Non-interacting
ZNF781,6.36E-18,Non-interacting
FCHO2,6.51E-18,Interacting
CYHR1,7.24E-18,Non-interacting
EIF2AK1,7.54E-18,Interacting
AEN,8.45E-18,Non-interacting
FBRSL1,8.50E-18,Non-interacting
C21orf62,8.66E-18,Non-interacting
SLC4A10,8.90E-18,Non-interacting
NOP16,9.10E-18,Non-interacting
NEDD4,9.27E-18,Interacting
RPF1,9.27E-18,Non-interacting
PRM2,1.26E-17,Non-interacting
WDR87,1.83E-17,Non-interacting
TRDN,2.00E-17,Non-interacting
CACFD1,2.06E-17,Non-interacting
PRDM11,2.20E-17,Non-interacting
SI,2.55E-17,Non-interacting
CAMK2D,2.99E-17,Interacting
HMGN3,2.99E-17,Non-interacting
STMN2,2.99E-17,Non-interacting
MUC7,3.15E-17,Non-interacting
ATP8A1,3.40E-17,Non-interacting
CDHR4,5.36E-17,Non-interacting
DOCK10,5.73E-17,Non-interacting
PIF1,9.39E-17,Non-interacting
PLA2G4C,9.86E-17,Non-interacting
NPDC1,1.08E-16,Non-interacting
PODXL,1.17E-16,Non-interacting
LGR6,1.25E-16,Non-interacting
MAD2L1BP,1.38E-16,Non-interacting
C4BPA,1.54E-16,Interacting
MUC5B,1.65E-16,Non-interacting
PARP15,1.81E-16,Non-interacting
GSDMC,1.97E-16,Non-interacting
PURG,2.70E-16,Non-interacting
FNBP1L,6.16E-16,Interacting
KIAA2012,6.43E-16,Non-interacting
ETFB,6.65E-16,Non-interacting
ITGAM,8.39E-16,Interacting
SLCO3A1,8.41E-16,Non-interacting
ZFPM2,9.74E-16,Interacting
LY75,1.06E-15,Interacting
PASD1,1.15E-15,Non-interacting
LAMP2,1.17E-15,Non-interacting
CCDC116,1.31E-15,Non-interacting
CD72,1.35E-15,Interacting
FCGRT,1.46E-15,Interacting
GRIA3,1.47E-15,Non-interacting
RGMA,2.17E-15,Non-interacting
SNX27,2.19E-15,Interacting
CCDC178,2.74E-15,Non-interacting
RGS5,3.05E-15,Non-interacting
ELN,3.86E-15,Non-interacting
ADGRF2,5.43E-15,Non-interacting
C16orf46,5.85E-15,Non-interacting
ELAVL4,6.46E-15,Interacting
FYN,7.07E-15,Interacting
MS4A12,7.07E-15,Non-interacting
ZSWIM8,7.47E-15,Non-interacting
RIMS1,8.19E-15,Interacting
CALU,8.60E-15,Non-interacting
RSPO3,8.81E-15,Non-interacting
C11orf1,9.09E-15,Non-interacting
PCDH7,9.66E-15,Non-interacting
GDPD4,1.04E-14,Non-interacting
DPM2,1.09E-14,Non-interacting
C20orf173,1.12E-14,Non-interacting
C6orf201,1.18E-14,Non-interacting
GLRX2,1.22E-14,Non-interacting
MXRA7,1.70E-14,Non-interacting
CABYR,1.97E-14,Non-interacting
TMEM217,2.09E-14,Non-interacting
RNF213,2.25E-14,Non-interacting
TPM1,2.41E-14,Interacting
COL7A1,2.48E-14,Interacting
CKAP4,2.75E-14,Non-interacting
OVOS2,2.87E-14,Non-interacting
SIGLEC6,2.87E-14,Interacting
SLC9C1,2.87E-14,Non-interacting
MAML2,3.10E-14,Non-interacting
GRIA2,4.84E-14,Non-interacting
TOMM7,5.42E-14,Non-interacting
GRAMD2B,5.91E-14,Non-interacting
CLCA4,5.92E-14,Interacting
HERC6,5.93E-14,Non-interacting
RPS6KA1,6.24E-14,Interacting
PITX2,6.39E-14,Non-interacting
TSPAN8,6.94E-14,Non-interacting
GUCD1,7.24E-14,Non-interacting
ATP6V1G2,8.06E-14,Non-interacting
GAP43,8.47E-14,Non-interacting
MUC13,8.47E-14,Non-interacting
PKD1L3,8.47E-14,Interacting
ZFAND2A,9.03E-14,Non-interacting
VGLL1,9.13E-14,Non-interacting
DAP,9.54E-14,Non-interacting
SAGE1,1.65E-13,Non-interacting
SDC3,2.24E-13,Interacting
MUC21,2.36E-13,Non-interacting
FAM131A,2.40E-13,Non-interacting
WLS,2.57E-13,Non-interacting
ADAM32,2.77E-13,Non-interacting
GRIA1,2.94E-13,Non-interacting
MMD,3.01E-13,Non-interacting
MCM8,3.44E-13,Non-interacting
SERP2,3.68E-13,Non-interacting
TMEM95,3.84E-13,Non-interacting
IZUMO3,3.89E-13,Non-interacting
PCDH9,4.09E-13,Non-interacting
CDKN2A,5.72E-13,Interacting
OAS2,5.75E-13,Non-interacting
ZNF676,6.46E-13,Interacting
CD3E,6.66E-13,Interacting
CBFB,8.07E-13,Interacting
SLC3A2,8.58E-13,Non-interacting
SLC44A1,9.55E-13,Non-interacting
SYCP2L,1.05E-12,Non-interacting
MSRB3,1.19E-12,Non-interacting
FBXW12,1.32E-12,Non-interacting
TMEM212,1.38E-12,Non-interacting
VAMP1,1.38E-12,Non-interacting
CYBB,1.44E-12,Non-interacting
SLC25A35,1.46E-12,Non-interacting
RAB1A,1.50E-12,Interacting
CHRDL2,1.84E-12,Non-interacting
SH2B2,1.91E-12,Interacting
ZNF814,1.93E-12,Interacting
CAPN14,1.94E-12,Non-interacting
FCRL3,2.00E-12,Interacting
C9orf153,2.60E-12,Non-interacting
ECE2,3.76E-12,Non-interacting
MUC5AC,3.81E-12,Non-interacting
PITPNB,4.08E-12,Non-interacting
ABCC9,4.08E-12,Interacting
ZNF843,4.50E-12,Interacting
CPAMD8,4.52E-12,Non-interacting
ITGAX,4.52E-12,Non-interacting
IFI16,4.82E-12,Non-interacting
CBX6,5.01E-12,Non-interacting
RPL28,5.17E-12,Non-interacting
CDKL5,5.19E-12,Interacting
SNRNP27,5.86E-12,Non-interacting
ATP2B2,5.91E-12,Non-interacting
PRB2,6.25E-12,Non-interacting
OAS1,6.35E-12,Non-interacting
CAPN8,6.74E-12,Non-interacting
PNMA8B,7.49E-12,Non-interacting
C17orf78,7.52E-12,Non-interacting
POPDC2,8.08E-12,Non-interacting
EFNA4,8.34E-12,Interacting
PTHLH,9.30E-12,Non-interacting
OVCH1,9.61E-12,Non-interacting
C1orf167,1.00E-11,Non-interacting
C6orf10,1.05E-11,Non-interacting
TMEM145,1.08E-11,Non-interacting
TULP1,1.11E-11,Non-interacting
SHMT2,1.25E-11,Non-interacting
KRT15,1.46E-11,Non-interacting
APOBR,1.46E-11,Non-interacting
CCDC180,1.51E-11,Non-interacting
ALMS1,1.76E-11,Non-interacting
FAM19A3,1.79E-11,Non-interacting
CCDC159,1.81E-11,Non-interacting
PZP,1.81E-11,Non-interacting
KIAA1614,1.82E-11,Non-interacting
FAM3A,1.84E-11,Non-interacting
SP3,1.84E-11,Non-interacting
MED28,1.87E-11,Non-interacting
PICALM,1.90E-11,Non-interacting
CD244,2.07E-11,Interacting
SLC35F3,2.09E-11,Non-interacting
APOB,2.22E-11,Non-interacting
SEMG2,2.48E-11,Non-interacting
ABCB1,2.55E-11,Interacting
DMD,2.67E-11,Interacting
PIGR,2.93E-11,Non-interacting
TAF8,3.35E-11,Non-interacting
KRTAP4-1,3.38E-11,Non-interacting
BEND2,3.65E-11,Non-interacting
A1CF,3.66E-11,Interacting
ADGRL3,4.00E-11,Non-interacting
NMD3,4.13E-11,Non-interacting
SLC4A5,4.45E-11,Non-interacting
SLC4A4,4.45E-11,Non-interacting
GARNL3,4.55E-11,Non-interacting
PLPP1,4.92E-11,Non-interacting
KCNU1,5.07E-11,Non-interacting
LMO1,5.16E-11,Non-interacting
CRHR2,5.35E-11,Non-interacting
MFSD7,5.53E-11,Non-interacting
ICAM4,5.56E-11,Interacting
ZNF493,5.90E-11,Non-interacting
PLEKHG4B,5.93E-11,Non-interacting
IQCB1,6.26E-11,Non-interacting
IFT81,6.89E-11,Non-interacting
MYH6,7.41E-11,Non-interacting
RGP1,7.41E-11,Non-interacting
RGPD1,7.41E-11,Non-interacting
GZMA,8.13E-11,Interacting
TEP1,8.40E-11,Non-interacting
MYLK,9.64E-11,Interacting
ARPIN,1.01E-10,Non-interacting
MYO1F,1.08E-10,Non-interacting
CCDC179,1.27E-10,Non-interacting
FAM26F,1.31E-10,Non-interacting
SLC47A1,1.37E-10,Non-interacting
SLCO1C1,1.45E-10,Non-interacting
POLM,1.47E-10,Non-interacting
SATL1,1.58E-10,Non-interacting
CD163L1,1.62E-10,Non-interacting
ZNF286B,1.63E-10,Non-interacting
USP26,1.68E-10,Non-interacting
C8orf22,1.70E-10,Non-interacting
MORN1,1.70E-10,Non-interacting
CHDC2,1.84E-10,Non-interacting
NAXD,1.84E-10,Non-interacting
MRPL10,1.86E-10,Non-interacting
CXorf30,1.93E-10,Non-interacting
PIP,1.93E-10,Non-interacting
ARHGEF3,2.08E-10,Non-interacting
CCDC136,2.09E-10,Non-interacting
CEACAM20,2.21E-10,Interacting
WFDC6,2.24E-10,Non-interacting
NEK4,2.28E-10,Interacting
CASP10,2.43E-10,Interacting
GOLGA7B,2.44E-10,Non-interacting
ARPC4,2.44E-10,Non-interacting
MME,2.48E-10,Non-interacting
SYCP1,2.70E-10,Non-interacting
GLA,2.83E-10,Non-interacting
NAT8,2.83E-10,Non-interacting
RNF130,2.95E-10,Non-interacting
COL6A5,3.00E-10,Interacting
KIAA1468,3.00E-10,Non-interacting
TIGD5,3.15E-10,Non-interacting
TRMT10C,3.16E-10,Non-interacting
ZMPSTE24,3.16E-10,Non-interacting
MKI67,3.62E-10,Non-interacting
FAM111A,3.64E-10,Non-interacting
MYO1H,3.82E-10,Non-interacting
TPP1,3.98E-10,Non-interacting
RPGR,4.07E-10,Non-interacting
RTN3,4.23E-10,Non-interacting
ACD,4.33E-10,Non-interacting
ZDHHC18,4.45E-10,Non-interacting
CCDC149,4.65E-10,Non-interacting
SYNGR1,5.49E-10,Non-interacting
CDKL4,5.56E-10,Interacting
GRAMD1B,5.63E-10,Non-interacting
ZDHHC1,5.78E-10,Non-interacting
CD300LB,6.01E-10,Interacting
IFT20,6.50E-10,Non-interacting
ADCY10,6.57E-10,Non-interacting
CAPN13,6.59E-10,Non-interacting
SPTBN5,6.70E-10,Interacting
RAD51B,6.76E-10,Non-interacting
ASAH1,6.99E-10,Non-interacting
MIEF1,7.43E-10,Non-interacting
SERPINA3,7.57E-10,Non-interacting
RHCE,7.59E-10,Non-interacting
PTPRH,8.10E-10,Non-interacting
LUZP4,8.65E-10,Non-interacting
MAP7D3,8.67E-10,Non-interacting
CDH26,9.27E-10,Non-interacting
RGS8,9.27E-10,Non-interacting
VSIG10,9.36E-10,Interacting
PRDM9,9.42E-10,Interacting
ADAM20,9.53E-10,Non-interacting
LRPPRC,9.53E-10,Non-interacting
DPF3,9.54E-10,Non-interacting
SPAG8,1.11E-09,Non-interacting
PRR36,1.18E-09,Non-interacting
SLC22A18AS,1.43E-09,Non-interacting
FETUB,1.65E-09,Non-interacting
GSE1,1.65E-09,Interacting
COQ10A,1.97E-09,Non-interacting
THOC7,2.03E-09,Non-interacting
MTPAP,2.15E-09,Non-interacting
MMAA,2.17E-09,Non-interacting
PGM1,2.30E-09,Non-interacting
AKAP9,2.34E-09,Non-interacting
LRRTM4,2.35E-09,Non-interacting
LYRM9,2.46E-09,Non-interacting
IZUMO2,2.56E-09,Non-interacting
ENSA,2.59E-09,Non-interacting
ZDHHC24,2.60E-09,Non-interacting
KIFC2,2.80E-09,Non-interacting
ADGRG6,2.87E-09,Non-interacting
CCDC146,2.94E-09,Non-interacting
NCR3LG1,3.30E-09,Interacting
NHS,3.31E-09,Non-interacting
IDH3G,3.39E-09,Non-interacting
KLHDC9,3.41E-09,Non-interacting
PALLD,3.59E-09,Interacting
ADGRG7,3.64E-09,Non-interacting
TBC1D29,3.67E-09,Non-interacting
SLAMF7,3.80E-09,Interacting
DDTL,4.12E-09,Non-interacting
RESP18,4.30E-09,Non-interacting
DNHD1,4.51E-09,Non-interacting
RASSF5,4.68E-09,Non-interacting
HRNR,4.71E-09,Non-interacting
RAD51D,4.92E-09,Non-interacting
CFAP47,5.05E-09,Non-interacting
MBNL3,6.23E-09,Non-interacting
TRPM6,6.23E-09,Non-interacting
FAM227A,6.40E-09,Non-interacting
LRRC63,6.42E-09,Non-interacting
VWA5A,6.47E-09,Interacting
TSC22D3,6.64E-09,Non-interacting
MAGEC2,7.34E-09,Non-interacting
ZDHHC8,7.40E-09,Non-interacting
ABCA6,7.95E-09,Interacting
NME8,8.33E-09,Interacting
S1PR1,8.70E-09,Non-interacting
BCKDHA,9.21E-09,Non-interacting
GOLGA6L1,9.26E-09,Non-interacting
POLA1,9.38E-09,Non-interacting
ABCD3,9.46E-09,Non-interacting
VAV2,9.48E-09,Interacting
LAMB4,1.02E-08,Non-interacting
CCDC138,1.03E-08,Non-interacting
AKAP13,1.05E-08,Interacting
ARHGAP19,1.14E-08,Non-interacting
CTSG,1.15E-08,Interacting
GUF1,1.16E-08,Non-interacting
NUGGC,1.20E-08,Non-interacting
GAMT,1.39E-08,Non-interacting
BBC3,1.40E-08,Interacting
CCDC191,1.42E-08,Non-interacting
FHOD1,1.44E-08,Non-interacting
SLC45A4,1.44E-08,Non-interacting
BRCA2,1.46E-08,Non-interacting
CEP126,1.48E-08,Non-interacting
SCGB1D2,1.51E-08,Non-interacting
EIF4E1B,1.51E-08,Non-interacting
PRR14L,1.51E-08,Non-interacting
TGOLN2,1.56E-08,Non-interacting
KRTAP10-4,1.65E-08,Non-interacting
FN1,1.65E-08,Interacting
APH1A,1.72E-08,Non-interacting
TSPAN1,1.73E-08,Non-interacting
SLFN12L,1.74E-08,Non-interacting
CCL1,1.77E-08,Interacting
CCDC175,1.80E-08,Non-interacting
XPO7,1.94E-08,Non-interacting
C5,1.98E-08,Non-interacting
GIMAP8,1.98E-08,Non-interacting
ADGRE1,2.05E-08,Non-interacting
GGH,2.10E-08,Non-interacting
SYT6,2.10E-08,Non-interacting
GRIA4,2.16E-08,Non-interacting
PCSK5,2.18E-08,Non-interacting
GZMH,2.27E-08,Interacting
TSGA10IP,2.27E-08,Non-interacting
MUC16,2.41E-08,Non-interacting
HSD17B2,2.46E-08,Interacting
SPOCD1,2.46E-08,Non-interacting
ARHGAP33,2.48E-08,Interacting
CATSPERE,2.49E-08,Non-interacting
OBSCN,2.66E-08,Interacting
SYT7,2.87E-08,Non-interacting
PGPEP1L,2.91E-08,Non-interacting
GIMAP5,3.01E-08,Non-interacting
MRGPRX1,3.14E-08,Non-interacting
IL25,3.14E-08,Non-interacting
HRC,3.17E-08,Non-interacting
C7orf34,3.44E-08,Non-interacting
ERICH6B,3.44E-08,Non-interacting
APBB1,3.46E-08,Non-interacting
IGSF23,3.46E-08,Non-interacting
GABRG2,3.48E-08,Interacting
LYRM7,3.51E-08,Non-interacting
PRR27,3.56E-08,Non-interacting
ZNF107,3.62E-08,Non-interacting
COL25A1,3.67E-08,Non-interacting
SLAMF6,3.73E-08,Interacting
CSNK1G1,3.75E-08,Interacting
GOLGA6L6,4.02E-08,Non-interacting
SUPT20H,4.23E-08,Non-interacting
FCGBP,4.34E-08,Non-interacting
MUC1,4.55E-08,Interacting
ZNF469,4.57E-08,Non-interacting
ANKRD62,4.62E-08,Interacting
TAOK2,4.77E-08,Interacting
TMEM167B,4.79E-08,Non-interacting
CCDC43,4.86E-08,Non-interacting
MEFV,4.86E-08,Interacting
CD55,5.06E-08,Interacting
CPVL,5.32E-08,Non-interacting
CD8B,5.34E-08,Interacting
PITPNA,5.35E-08,Non-interacting
PKD1L1,5.35E-08,Non-interacting
ESRRG,5.37E-08,Interacting
RNFT2,5.51E-08,Non-interacting
TREM1,5.56E-08,Interacting
AGR2,5.67E-08,Non-interacting
CTNNA3,6.04E-08,Non-interacting
COPZ1,6.06E-08,Non-interacting
IGSF9B,6.58E-08,Interacting
HCAR3,6.69E-08,Non-interacting
STUM,6.91E-08,Non-interacting
RPGRIP1,7.13E-08,Non-interacting
JAM3,7.43E-08,Interacting
TAS2R41,7.43E-08,Non-interacting
PPEF1,7.68E-08,Non-interacting
LUC7L2,8.22E-08,Non-interacting
ARHGEF1,8.87E-08,Non-interacting
COL21A1,8.94E-08,Interacting
WIPF3,9.28E-08,Non-interacting
TMEM176A,9.37E-08,Non-interacting
ZNF749,9.38E-08,Non-interacting
ARRDC2,9.60E-08,Non-interacting
CATSPERG,9.78E-08,Non-interacting
MRGPRX4,1.07E-07,Non-interacting
ZNF721,1.08E-07,Non-interacting
MUC20,1.08E-07,Non-interacting
PPP6C,1.09E-07,Interacting
XIRP2,1.11E-07,Non-interacting
IFI44,1.11E-07,Non-interacting
MIS18BP1,1.13E-07,Interacting
SLC13A1,1.15E-07,Non-interacting
LTBP4,1.20E-07,Non-interacting
GFRA4,1.20E-07,Non-interacting
THSD7A,1.21E-07,Non-interacting
CCDC57,1.21E-07,Non-interacting
MCRIP1,1.24E-07,Non-interacting
XDH,1.31E-07,Non-interacting
ZDHHC13,1.33E-07,Interacting
DUOX2,1.35E-07,Interacting
SSUH2,1.35E-07,Non-interacting
MLKL,1.35E-07,Interacting
CLEC4A,1.38E-07,Interacting
GPR107,1.39E-07,Non-interacting
GOLGA6L2,1.43E-07,Non-interacting
KIAA1210,1.44E-07,Non-interacting
RPTN,1.49E-07,Non-interacting
CR1L,1.55E-07,Non-interacting
CCDC150,1.60E-07,Non-interacting
FOXD4L4,1.60E-07,Non-interacting
TMEM237,1.60E-07,Non-interacting
TMPRSS11D,1.60E-07,Interacting
CARD11,1.64E-07,Non-interacting
LYRM4,1.64E-07,Non-interacting
FPGS,1.66E-07,Non-interacting
UGT1A4,1.68E-07,Non-interacting
C10orf128,1.72E-07,Non-interacting
HTR3D,1.76E-07,Non-interacting
DBNDD1,1.81E-07,Non-interacting
HSD17B6,1.82E-07,Interacting
PLD5,1.89E-07,Non-interacting
TMEM210,1.91E-07,Non-interacting
FOXD4L2,1.94E-07,Non-interacting
EPB41L2,2.08E-07,Interacting
B3GALT6,2.09E-07,Non-interacting
FBLN1,2.10E-07,Non-interacting
SLC39A14,2.13E-07,Non-interacting
ICAM1,2.19E-07,Interacting
FOXP1,2.20E-07,Non-interacting
CCDC36,2.36E-07,Non-interacting
ALDH3A1,2.44E-07,Non-interacting
EBAG9,2.45E-07,Non-interacting
HKR1,2.49E-07,Non-interacting
DLEC1,2.50E-07,Non-interacting
CCDC18,2.50E-07,Non-interacting
MDC1,2.70E-07,Non-interacting
CLPB,2.75E-07,Interacting
NFKBIE,2.77E-07,Interacting
UBAP2L,2.84E-07,Non-interacting
KIAA1683,2.89E-07,Non-interacting
RAB2A,2.89E-07,Non-interacting
CHRNA4,2.91E-07,Interacting
GNAS,2.93E-07,Non-interacting
IFI44L,2.95E-07,Non-interacting
FAM19A1,2.97E-07,Non-interacting
DCTN1,3.04E-07,Non-interacting
C5AR1,3.11E-07,Non-interacting
NRK,3.24E-07,Interacting
UPK1A,3.25E-07,Interacting
WDR66,3.25E-07,Non-interacting
ADAM2,3.37E-07,Non-interacting
PLK4,3.37E-07,Interacting
ZNF589,3.41E-07,Non-interacting
DHRS2,3.58E-07,Non-interacting
RNASEL,3.60E-07,Interacting
JKAMP,3.72E-07,Non-interacting
DIO2,3.90E-07,Non-interacting
TOR4A,4.07E-07,Non-interacting
TBC1D30,4.08E-07,Non-interacting
C16orf52,4.63E-07,Non-interacting
GOLGB1,4.70E-07,Non-interacting
CATSPERB,4.78E-07,Non-interacting
EMP2,4.78E-07,Non-interacting
MAGEB6,5.02E-07,Non-interacting
PCED1B,5.17E-07,Non-interacting
LPXN,5.18E-07,Interacting
ETNK2,5.32E-07,Non-interacting
CDKN1B,5.36E-07,Non-interacting
VPS29,5.38E-07,Non-interacting
ALPK2,5.47E-07,Interacting
GSG1,5.56E-07,Non-interacting
RORA,5.62E-07,Non-interacting
SFR1,5.96E-07,Non-interacting
ZNF28,5.97E-07,Non-interacting
IL18,6.04E-07,Non-interacting
GP1BA,6.05E-07,Interacting
TACC2,6.17E-07,Non-interacting
PP2D1,6.38E-07,Non-interacting
REC8,6.41E-07,Non-interacting
FAM208B,6.55E-07,Non-interacting
PAGE1,6.61E-07,Non-interacting
NUTM1,6.82E-07,Non-interacting
FAM78A,6.83E-07,Non-interacting
P3H1,7.09E-07,Non-interacting
C12orf76,7.17E-07,Non-interacting
ZNF350,7.19E-07,Non-interacting
KNL1,7.25E-07,Non-interacting
OR9A2,7.26E-07,Non-interacting
FAM228B,7.27E-07,Non-interacting
SOX5,7.28E-07,Non-interacting
ZAN,7.42E-07,Non-interacting
FAM182B,7.43E-07,Non-interacting
FAM111B,7.65E-07,Non-interacting
MYH11,7.65E-07,Interacting
SRRM5,7.65E-07,Non-interacting
CMYA5,8.00E-07,Non-interacting
DNAAF1,8.00E-07,Non-interacting
GLYATL3,8.00E-07,Non-interacting
ABHD17B,8.10E-07,Interacting
PTGER3,8.11E-07,Non-interacting
HEMGN,8.17E-07,Non-interacting
KIAA1024,8.53E-07,Non-interacting
C17orf47,8.85E-07,Non-interacting
C14orf80,8.93E-07,Non-interacting
MGAT5B,8.96E-07,Non-interacting
DNAH7,9.09E-07,Non-interacting
MRPL9,9.10E-07,Non-interacting
SLC7A13,9.18E-07,Interacting
CUBN,9.88E-07,Non-interacting
IQUB,1.01E-06,Interacting
CACNG8,1.03E-06,Non-interacting
DBI,1.09E-06,Non-interacting
HAGHL,1.09E-06,Non-interacting
HOPX,1.09E-06,Non-interacting
RGPD5,1.11E-06,Non-interacting
DHRS7B,1.13E-06,Interacting
ILDR2,1.13E-06,Non-interacting
PIEZO1,1.13E-06,Non-interacting
PRSS21,1.15E-06,Interacting
FOXD4L6,1.16E-06,Non-interacting
PCDHGA12,1.18E-06,Non-interacting
ATP10B,1.21E-06,Non-interacting
SSX1,1.24E-06,Non-interacting
ASMTL,1.24E-06,Non-interacting
MAP1LC3A,1.24E-06,Non-interacting
MGAM2,1.24E-06,Non-interacting
FAM92B,1.27E-06,Interacting
DERL3,1.28E-06,Non-interacting
C22orf15,1.30E-06,Non-interacting
TRIM52,1.30E-06,Non-interacting
TMPRSS2,1.34E-06,Non-interacting
STPG4,1.37E-06,Non-interacting
PECR,1.37E-06,Interacting
FMR1NB,1.39E-06,Non-interacting
BET1,1.41E-06,Non-interacting
TLR4,1.42E-06,Non-interacting
FOXD4L3,1.43E-06,Non-interacting
CRNN,1.52E-06,Non-interacting
LARP4,1.60E-06,Non-interacting
SEMG1,1.60E-06,Non-interacting
SENP7,1.69E-06,Non-interacting
GAGE13,1.69E-06,Non-interacting
GAGE5,1.69E-06,Non-interacting
PRR34,1.72E-06,Non-interacting
GCSAM,1.73E-06,Non-interacting
SLC7A2,1.74E-06,Non-interacting
APOL5,1.80E-06,Non-interacting
MBP,1.81E-06,Interacting
GYPC,1.81E-06,Non-interacting
C1orf141,1.82E-06,Non-interacting
RAD51AP2,1.84E-06,Non-interacting
KRTAP9-1,1.85E-06,Non-interacting
SETX,1.85E-06,Non-interacting
CDHR3,1.90E-06,Non-interacting
ACOX1,2.08E-06,Non-interacting
ERICH3,2.08E-06,Non-interacting
ATP2B1,2.08E-06,Non-interacting
ANKLE1,2.09E-06,Interacting
NECAP2,2.10E-06,Non-interacting
STT3B,2.14E-06,Non-interacting
GAGE10,2.17E-06,Non-interacting
ASL,2.19E-06,Non-interacting
UBA7,2.23E-06,Non-interacting
MAPK14,2.38E-06,Interacting
CCDC33,2.40E-06,Non-interacting
PRG2,2.46E-06,Interacting
PEBP4,2.47E-06,Non-interacting
IQSEC1,2.62E-06,Non-interacting
SGO2,2.62E-06,Non-interacting
RPE65,2.65E-06,Non-interacting
FOXD4L5,2.69E-06,Non-interacting
RBM41,2.69E-06,Non-interacting
TAF7L,2.73E-06,Non-interacting
PPP1R15A,2.81E-06,Non-interacting
NECAB2,2.85E-06,Non-interacting
ANO2,2.86E-06,Non-interacting
ITIH4,2.96E-06,Interacting
SH3D21,2.96E-06,Interacting
